period,month,department,scholarship_type,allocated,awarded,remaining,recipients,utilization_pct
2026-07-01,July,Business,Need-Based,22875,21731,1144,5,0.9499890710382514
2026-07-01,July,Business,Research,7625,7244,381,2,0.950032786885246
2026-08-01,August,Business,Merit,20333,19520,813,4,0.9600157379629174
2026-08-01,August,Business,Need-Based,22875,21960,915,5,0.96
2026-08-01,August,Business,Research,7625,7320,305,2,0.96
2026-09-01,September,Business,Merit,20333,20333,0,4,1.0
2026-09-01,September,Business,Need-Based,22875,22875,0,5,1.0
2026-09-01,September,Business,Research,7625,7625,0,2,1.0
2026-10-01,October,Business,Merit,20333,20333,0,4,1.0
2026-10-01,October,Business,Need-Based,22875,22875,0,5,1.0
2026-10-01,October,Business,Research,7625,7625,0,2,1.0
2026-11-01,November,Business,Merit,20333,19926,407,4,0.9799832784144002
2026-11-01,November,Business,Need-Based,22875,22418,457,5,0.9800218579234973
2026-11-01,November,Business,Research,7625,7472,153,2,0.9799344262295082
2026-12-01,December,Business,Merit,20333,19723,610,4,0.9699995081886589
2026-12-01,December,Business,Need-Based,22875,22189,686,5,0.9700109289617487
2026-12-01,December,Business,Research,7625,7396,229,2,0.9699672131147541
2026-01-01,January,Health Sciences,Merit,26334,24227,2107,5,0.9199893673577884
2026-01-01,January,Health Sciences,Need-Based,29625,27255,2370,6,0.92
2026-01-01,January,Health Sciences,Research,9875,9085,790,2,0.92
2026-02-01,February,Health Sciences,Merit,26334,24754,1580,5,0.9400015189488874
2026-02-01,February,Health Sciences,Need-Based,29625,27848,1777,6,0.9400168776371308
2026-02-01,February,Health Sciences,Research,9875,9282,593,2,0.9399493670886075
2026-03-01,March,Health Sciences,Merit,26334,25281,1053,5,0.9600136705399863
2026-03-01,March,Health Sciences,Need-Based,29625,28440,1185,6,0.96
2026-03-01,March,Health Sciences,Research,9875,9480,395,2,0.96
2026-04-01,April,Health Sciences,Merit,26334,25544,790,5,0.9700007594744436
2026-04-01,April,Health Sciences,Need-Based,29625,28736,889,6,0.9699915611814346
2026-04-01,April,Health Sciences,Research,9875,9579,296,2,0.9700253164556962
2026-05-01,May,Health Sciences,Merit,26333,25806,527,5,0.9799870884441575
2026-05-01,May,Health Sciences,Need-Based,29625,29032,593,6,0.9799831223628692
2026-05-01,May,Health Sciences,Research,9875,9678,197,2,0.9800506329113924
2026-06-01,June,Health Sciences,Merit,26333,26070,263,5,0.9900125318042
2026-06-01,June,Health Sciences,Need-Based,29625,29329,296,6,0.9900084388185654
2026-06-01,June,Health Sciences,Research,9875,9776,99,2,0.9899746835443038
2026-07-01,July,Health Sciences,Merit,26333,25016,1317,5,0.9499867086925151
2026-07-01,July,Health Sciences,Need-Based,29625,28144,1481,6,0.9500084388185654
2026-07-01,July,Health Sciences,Research,9875,9381,494,2,0.9499746835443038
2026-08-01,August,Health Sciences,Merit,26333,25280,1053,5,0.9600121520525576
2026-08-01,August,Health Sciences,Need-Based,29625,28440,1185,6,0.96
2026-08-01,August,Health Sciences,Research,9875,9480,395,2,0.96
2026-09-01,September,Health Sciences,Merit,26333,26333,0,5,1.0
2026-09-01,September,Health Sciences,Need-Based,29625,29625,0,6,1.0
2026-09-01,September,Health Sciences,Research,9875,9875,0,2,1.0
2026-10-01,October,Health Sciences,Merit,26333,26333,0,5,1.0
2026-10-01,October,Health Sciences,Need-Based,29625,29625,0,6,1.0
2026-10-01,October,Health Sciences,Research,9875,9875,0,2,1.0
2026-11-01,November,Health Sciences,Merit,26333,25806,527,5,0.9799870884441575
2026-11-01,November,Health Sciences,Need-Based,29625,29032,593,6,0.9799831223628692
2026-11-01,November,Health Sciences,Research,9875,9678,197,2,0.9800506329113924
2026-12-01,December,Health Sciences,Merit,26333,25543,790,5,0.9699996202483576
2026-12-01,December,Health Sciences,Need-Based,29625,28736,889,6,0.9699915611814346
2026-12-01,December,Health Sciences,Research,9875,9579,296,2,0.9700253164556962
