period,month,department,revenue_category,budget_revenue,actual_revenue,variance,variance_pct
2026-12-01,December,Business,Research Grants,39865,39945,80,0.00200677285839709
2026-12-01,December,Business,Other Revenue,56950,55925,-1025,-0.0179982440737489
2026-01-01,January,Health Sciences,Tuition,425250,418021,-7229,-0.01699941211052322
2026-01-01,January,Health Sciences,Research Grants,133650,135655,2005,0.01500187055742611
2026-01-01,January,Health Sciences,Other Revenue,48600,48357,-243,-0.005
2026-02-01,February,Health Sciences,Tuition,453600,443621,-9979,-0.02199955908289242
2026-02-01,February,Health Sciences,Research Grants,142560,143986,1426,0.01000280583613917
2026-02-01,February,Health Sciences,Other Revenue,51840,51322,-518,-0.009992283950617284
2026-03-01,March,Health Sciences,Tuition,510300,494991,-15309,-0.03
2026-03-01,March,Health Sciences,Research Grants,160380,160701,321,0.00200149644594089
2026-03-01,March,Health Sciences,Other Revenue,58320,57270,-1050,-0.01800411522633745
2026-04-01,April,Health Sciences,Tuition,481950,464600,-17350,-0.03599958501919286
2026-04-01,April,Health Sciences,Research Grants,151470,150864,-606,-0.004000792236086354
2026-04-01,April,Health Sciences,Other Revenue,55080,53758,-1322,-0.02400145243282498
2026-05-01,May,Health Sciences,Tuition,470610,449903,-20707,-0.04400033998427573
2026-05-01,May,Health Sciences,Research Grants,147906,146131,-1775,-0.01200086541452003
2026-05-01,May,Health Sciences,Other Revenue,53784,52063,-1721,-0.03199836382567306
2026-06-01,June,Health Sciences,Tuition,442260,405995,-36265,-0.08199927644372089
2026-06-01,June,Health Sciences,Research Grants,138996,132046,-6950,-0.05000143889032778
2026-06-01,June,Health Sciences,Other Revenue,50544,47006,-3538,-0.06999841722063944
2026-07-01,July,Health Sciences,Tuition,396900,375070,-21830,-0.05500125976316453
2026-07-01,July,Health Sciences,Research Grants,124740,121871,-2869,-0.02299983966650633
2026-07-01,July,Health Sciences,Other Revenue,45360,43410,-1950,-0.04298941798941799
2026-08-01,August,Health Sciences,Tuition,402570,382039,-20531,-0.05099982611719701
2026-08-01,August,Health Sciences,Research Grants,126522,124118,-2404,-0.01900064810862933
2026-08-01,August,Health Sciences,Other Revenue,46008,44214,-1794,-0.03899321857068336
2026-09-01,September,Health Sciences,Tuition,567000,542619,-24381,-0.043
2026-09-01,September,Health Sciences,Research Grants,178200,176240,-1960,-0.01099887766554433
2026-09-01,September,Health Sciences,Other Revenue,64800,62791,-2009,-0.03100308641975309
2026-10-01,October,Health Sciences,Tuition,538650,518181,-20469,-0.03800055694792537
2026-10-01,October,Health Sciences,Research Grants,169290,168274,-1016,-0.006001535826097229
2026-10-01,October,Health Sciences,Other Revenue,61560,59959,-1601,-0.02600714749837557
2026-11-01,November,Health Sciences,Tuition,498960,481995,-16965,-0.0340007215007215
2026-11-01,November,Health Sciences,Research Grants,156816,156502,-314,-0.002002346699316396
2026-11-01,November,Health Sciences,Other Revenue,57024,55769,-1255,-0.02200827721661055
2026-12-01,December,Health Sciences,Tuition,481950,467492,-14458,-0.02999896254798216
2026-12-01,December,Health Sciences,Research Grants,151470,151773,303,0.002000396118043177
2026-12-01,December,Health Sciences,Other Revenue,55080,54089,-991,-0.0179920116194626
2026-01-01,January,Administration,Service Fees,82500,82088,-412,-0.004993939393939394
2026-01-01,January,Administration,Donations,37500,38062,562,0.01498666666666667
2026-01-01,January,Administration,Other Revenue,30000,29850,-150,-0.005
2026-02-01,February,Administration,Service Fees,88000,87120,-880,-0.01
2026-02-01,February,Administration,Donations,40000,40400,400,0.01
2026-02-01,February,Administration,Other Revenue,32000,31680,-320,-0.01
2026-03-01,March,Administration,Service Fees,99000,97218,-1782,-0.018
2026-03-01,March,Administration,Donations,45000,45090,90,0.002
2026-03-01,March,Administration,Other Revenue,36000,35352,-648,-0.018
2026-04-01,April,Administration,Service Fees,93500,91256,-2244,-0.024
2026-04-01,April,Administration,Donations,42500,42330,-170,-0.004
2026-04-01,April,Administration,Other Revenue,34000,33184,-816,-0.024
2026-05-01,May,Administration,Service Fees,91300,88378,-2922,-0.03200438116100766
2026-05-01,May,Administration,Donations,41500,41002,-498,-0.012
2026-05-01,May,Administration,Other Revenue,33200,32138,-1062,-0.03198795180722892
2026-06-01,June,Administration,Service Fees,85800,79794,-6006,-0.07
2026-06-01,June,Administration,Donations,39000,37050,-1950,-0.05
2026-06-01,June,Administration,Other Revenue,31200,29016,-2184,-0.07
2026-07-01,July,Administration,Service Fees,77000,73689,-3311,-0.043
2026-07-01,July,Administration,Donations,35000,34195,-805,-0.023
2026-07-01,July,Administration,Other Revenue,28000,26796,-1204,-0.043
2026-08-01,August,Administration,Service Fees,78100,75054,-3046,-0.03900128040973112
2026-08-01,August,Administration,Donations,35500,34826,-674,-0.01898591549295775
2026-08-01,August,Administration,Other Revenue,28400,27292,-1108,-0.03901408450704225
2026-09-01,September,Administration,Service Fees,110000,106590,-3410,-0.031
2026-09-01,September,Administration,Donations,50000,49450,-550,-0.011
2026-09-01,September,Administration,Other Revenue,40000,38760,-1240,-0.031
2026-10-01,October,Administration,Service Fees,104500,101783,-2717,-0.026
2026-10-01,October,Administration,Donations,47500,47215,-285,-0.006
2026-10-01,October,Administration,Other Revenue,38000,37012,-988,-0.026
2026-11-01,November,Administration,Service Fees,96800,94670,-2130,-0.02200413223140496
2026-11-01,November,Administration,Donations,44000,43912,-88,-0.002
2026-11-01,November,Administration,Other Revenue,35200,34426,-774,-0.02198863636363636
2026-12-01,December,Administration,Service Fees,93500,91817,-1683,-0.018
2026-12-01,December,Administration,Donations,42500,42585,85,0.002
2026-12-01,December,Administration,Other Revenue,34000,33388,-612,-0.018
